MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
1,TC_001,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1976-12-25,1,TC_001_01,761225 1/2,00:00-22:45,22:45:00,Missed session break at 22:50. CMA,00:00-22:45,Y,
2,TC_001,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1976-12-25,2,TC_001_02,761225 1/2,00:00-31:28,31:27:00,CMA,,N,
3,TC_002,With Dan.,8mm Cassette,1977-01-08,1,TC_002_01,770108 1/2 w Dan,00:00-16:36,16:31:00,CMA,,N,
4,TC_002,With Dan.,8mm Cassette,1977-01-08,2,TC_002_01,770108 1/2 w Dan,16:37-30:07,13:28:00,CMA,,N,
5,TC_002,With Dan.,8mm Cassette,1977-01-08,3,TC_002_02,770108 1/2 w Dan,00:00-30:08,30:04:00,CMA,,N,
6,TC_003,David's piano.,8mm Cassette,"1977-01-25, 1977-01-26",1,TC_003_01,"770125 1 Davids Piano, 770126 car NY-BUF w Anne",00:00-19:50,19:48:00,CMA,,N,
7,TC_003,David's piano.,8mm Cassette,"1977-01-25, 1977-01-26",2,TC_003_01,"770125 1 Davids Piano, 770126 car NY-BUF w Anne",19:51-41:48,21:54:00,CMA,19:51-41:48,Y,
8,TC_003,David's piano.,8mm Cassette,"1977-01-25, 1977-01-26",3,TC_003_01,"770125 1 Davids Piano, 770126 car NY-BUF w Anne",41:52-46:13,04:18:00,CMA,41:52-46:13,Y,
9,TC_003,David's piano.,8mm Cassette,"1977-01-25, 1977-01-26",4,TC_003_02,"770125 1 Davids Piano, 770126 car NY-BUF w Anne",00:00-06:48,06:46:00,Convo til 2:30 ish but Tony keeps playing the piano so I think we should leave it in. CMA,00:00-06:48,Y,
10,TC_003,David's piano.,8mm Cassette,"1977-01-25, 1977-01-26",5,TC_003_02,"770125 1 Davids Piano, 770126 car NY-BUF w Anne",06:53-11:57,05:01:00,CMA,06:53-11:57,Y,
11,TC_004,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-05-07,1,TC_004_02,77050506 The Piano at Annes house I (s 1) 770507 1,00:00-10:00,10:00:00,CMA,00:00-10:04,N,
12,TC_004,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-05-07,2,TC_004_02,77050506 The Piano at Annes house I (s 1) 770507 1,10:01-12:00,01:52:00,CMA,10:05-12:03,N,
13,TC_004,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-05-07,3,TC_004_02,77050506 The Piano at Annes house I (s 1) 770507 1,12:04-46:15,34:10:00,"Convo at 17:30 ish but I think we should leave it in, as it is about putting a stick in the piano. CMA",12:04-46:15,Y,
14,TC_004,"Anne's house. Newton, Massachusetts.",8mm Cassette,"1977-05-05, 1977-05-06",1,TC_004_01,77050506 The Piano at Annes house I (s 1) 770507 1,00:00-12:05,11:55:00,CMA,00:00-12:04,N,
